NOME,PARTIDO,CARGO,ESTADO,CRIME
Eduardo Amorim,PSDB,Senador,SE,Inquérito nº 4438/2017 - STF
Maria do Carmo Alves,DEM,Senador,SE,Inquérito nº 4438/2017 - STJ
José Serra,PSDB,Senador,SP,Inquérito nº 4.428/2017 - STF
Marta Suplicy,PMDB,Senador,SP,Ação civil pública nº 0024208-50.2004.8.26.0053 - TJ
Marta Suplicy,PMDB,Senador,SP,Ação civil pública nº 0045264-66.2009.8.26.0053 - TJ
Marta Suplicy,PMDB,Senador,SP,Ação civil pública nº 0044385-59.2009.8.26.0053 - TJ
Marta Suplicy,PMDB,Senador,SP,Ação civil pública nº 0044311-05.2009.8.26.0053 - TJ
Marta Suplicy,PMDB,Senador,SP,Ação civil pública nº 0125765-75.2007.8.26.0053 - TJ
Kátia Abreu,PMDB,Senador,TO,Ação ordinária nº 0016414-94.2009.4.01.4300 - TRF
Kátia Abreu,PMDB,Senador,TO,Inquérito nº 4419/2017 - STF
Vicentinho Alves,PR,Senador,TO,Inquérito nº 3807/2013 - STF
Vicentinho Alves,PR,Senador,TO,Ação civil pública nº 5000567-70.2006.827.2729 - TJ
CÉSAR MESSIAS,PSB,Deputado,AC,Processos nº 0011888-36.2011.4.01.3000 - TRF
CÉSAR MESSIAS,PSB,Deputado,AC,Ação civil de improbidade administrativa nº 0005420-27.2009.4.01.3000 - TRF1
CÉSAR MESSIAS,PSB,Deputado,AC,Ação civil de improbidade administrativa nº 0001372-25.2009.4.01.3000 - TRF1
FLAVIANO MELO,PMDB,Deputado,AC,Ação penal nº 435/2007 - STF
FLAVIANO MELO,PMDB,Deputado,AC,Ação civil pública nº 0006554-71.2005.8.01.0001 - TJ
MAJOR ROCHA,PSDB,Deputado,AC,Ação penal nº 954/2015 - STF
MAJOR ROCHA,PSDB,Deputado,AC,Processos nº 0000722-81.2010.8.01.0001 - TJ
ARTHUR LIRA,PP,Deputado,AL,Inquérito nº 3515/2012 - STF
ARTHUR LIRA,PP,Deputado,AL,Inquérito nº 3989/2015 - STF
ARTHUR LIRA,PP,Deputado,AL,Inquérito nº 3994/2015 - STF
ARTHUR LIRA,PP,Deputado,AL,Inquérito nº 3980/2015 - STF
ARTHUR LIRA,PP,Deputado,AL,Inquérito nº 3996/2015 -STF
ARTHUR LIRA,PP,Deputado,AL,Ação civil pública nº 0042688-60.2011.8.02.0001 - TJ
CICERO ALMEIDA,PRTB,Deputado,AL,Ação civil pública nº 0094747-30.2008.8.02.0001 - TJ
CICERO ALMEIDA,PRTB,Deputado,AL,Ação penal nº 956/2015 - STF
CICERO ALMEIDA,PRTB,Deputado,AL,Inquérito nº 3959/2015 - STF
CICERO ALMEIDA,PRTB,Deputado,AL,Ação civil pública nº 0719368-66.2013.8.02.0001 - TJ
CICERO ALMEIDA,PRTB,Deputado,AL,Agravo de instrumento nº 0005051-44.2012.8.02.0000 - TJ
RONALDO LESSA,PDT,Deputado,AL,Processos nº 0006151-47.2009.4.05.8000 - TRF
RONALDO LESSA,PDT,Deputado,AL,Ação penal nº 975/2016.Ação civil pública nº 0007045-12.2009.8.02.0001 - TJ
RONALDO LESSA,PDT,Deputado,AL,Inquérito nº 3987/2015 - STF
RONALDO LESSA,PDT,Deputado,AL,Ação civil pública nº 0002827-44.2012.4.05.8000 - TRF
RONALDO LESSA,PDT,Deputado,AL,Ação civil de improbidade administrativa nº 0092269-49.2008.8.02.0001 - TJ
RONALDO LESSA,PDT,Deputado,AL,Ação civil de improbidade administrativa nº 0017793-35.2011.8.02.0001 - TJ
RONALDO LESSA,PDT,Deputado,AL,Ação civil de improbidade administrativa nº 0001584-83.2012.8.02.0056 - TJ
MARCOS REATEGUI,PSC,Deputado,AP,Processos nº 0001445-12.2014.4.01 - STF
MARCOS REATEGUI,PSC,Deputado,AP,Ação penal nº 914/2015 - STF
MARCOS REATEGUI,PSC,Deputado,AP,Ação penal nº 945/2015 - STF
MARCOS REATEGUI,PSC,Deputado,AP,Inquérito nº 4237/2016 - STF
MARCOS REATEGUI,PSC,Deputado,AP,Ação civil pública nº 0038727-79.2014.8.03.0001 - TJ
ROBERTO GÓES,PDT,Deputado,AP,Ação penal nº 970/2015 - STF
ROBERTO GÓES,PDT,Deputado,AP,Ação penal nº 936/2015 - STF
ROBERTO GÓES,PDT,Deputado,AP,Ação penal nº 928/2015 - STF
ROBERTO GÓES,PDT,Deputado,AP,Ação penal nº 916/2015 - STF
ROBERTO GÓES,PDT,Deputado,AP,Ação penal nº 924/2015 - STF
ROBERTO GÓES,PDT,Deputado,AP,Ação penal nº 986/2016 - STF
ROBERTO GÓES,PDT,Deputado,AP,Ação penal nº 992/2016 - STF
ROBERTO GÓES,PDT,Deputado,AP,Inquérito nº 3950/2015 - STF
ROBERTO GÓES,PDT,Deputado,AP,Inquérito nº 4013/2015 - STF
ROBERTO GÓES,PDT,Deputado,AP,Inquérito nº 4067/2015 - STF
ROBERTO GÓES,PDT,Deputado,AP,Inquérito nº 4255/2016 - STF
ROBERTO GÓES,PDT,Deputado,AP,Ação civil pública nº 0002148-74.2013.4.01.3100 - TRF
ROBERTO GÓES,PDT,Deputado,AP,Ação civil pública nº 0001734-76.2013.4.01.3100 - TRF
ROBERTO GÓES,PDT,Deputado,AP,Ação civil pública nº 0029426-16.2011.8.03.0001 - TJ
VINÍCIUS GURGEL,PR,Deputado,AP,Inquérito nº 3529/2012 - STF
VINÍCIUS GURGEL,PR,Deputado,AP,Inquérito nº 3697/2013 - STF
VINÍCIUS GURGEL,PR,Deputado,AP,Inquérito nº 3944/2015 - STF
VINÍCIUS GURGEL,PR,Deputado,AP,Inquérito nº 3940/2015 - STF
ALFREDO NASCIMENTO,PR,Deputado,AM,Ação penal nº 960/2015 - STF
ALFREDO NASCIMENTO,PR,Deputado,AM,Inquérito nº 3694/2015 - STF
ALFREDO NASCIMENTO,PR,Deputado,AM,Inquérito nº 3700/2013 - STF
ALFREDO NASCIMENTO,PR,Deputado,AM,Ação civil pública nº 0208665-55.2008.8.04.0001 - TJ
ALFREDO NASCIMENTO,PR,Deputado,AM,Ação civil pública nº 0369355-92.2007.8.04.0001 - TJ
ALFREDO NASCIMENTO,PR,Deputado,AM,Ação popular nº 5540/2001 - TJ
ALFREDO NASCIMENTO,PR,Deputado,AM,Ação popular nº 0045967-98.2010.8.04.0012 - TJ
ALFREDO NASCIMENTO,PR,Deputado,AM,Inquérito nº 4443/2017 - STF
ATILA LINS,PSD,Deputado,AM,Ação civil pública nº 0012114-89.1996.8.04.0012 - TJ
CONCEIÇÃO SAMPAIO,PP,Deputado,AM,Ação civil de improbidade administrativa nº 0636323-76.2014.8.04.0001 - TJ
HISSA ABRAHÃO,PPS,Deputado,AM,Ação civil pública nº 0222154-91.2010.8.04.0001 - TJ
MARCOS ROTTA,PMDB,Deputado,AM,Ação civil pública nº 0636323-76.2014.8.04.0001 - TJ
SILAS CAMARA,PSD,Deputado,AM,Ação penal nº 579/2011 - STF
SILAS CAMARA,PSD,Deputado,AM,Ação civil de improbidade administrativa nº 0002397-34.2013.4.01.3000 - TRF
ANTONIO BRITO,PTB,Deputado,BA,Inquérito nº 4.455/2017 - STF
CACÁ LEÃO,PP,Deputado,BA,Inquérito nº 4421/2017 - STF
DANIEL ALMEIDA,PC do B,Deputado,BA,Inquérito nº 4390/2017 - STF
DANIEL ALMEIDA,PC do B,Deputado,BA,Inquérito nº 4390/2017 - STF
JOAO CARLOS BACELAR,PTN,Deputado,BA,Inquérito nº 3934/2014 - STF
JORGE SOLLA,PT,Deputado,BA,Ação civil pública nº 0523804-63.2016.8.05.0001 - TJ
MOEMA GRAMACHO,PT,Deputado,BA,Inquérito nº 4176/2015 - STF
MOEMA GRAMACHO,PT,Deputado,BA,Inquérito nº 4252/2016 - STF
MOEMA GRAMACHO,PT,Deputado,BA,Ação civil pública nº 0032431-91.2015.4.01.3300 - TRF
PAULO MAGALHÃES,PSD,Deputado,BA,Ação penal nº 896/2014 - STF
PAULO MAGALHÃES,PSD,Deputado,BA,Ação civil pública nº 0010939-63.2003.4.01.3300 - TRF
ROBERTO BRITTO,PP,Deputado,BA,Inquérito nº 3989/2015 - STF
ROBERTO BRITTO,PP,Deputado,BA,Inquérito nº 3980/2015 - STF
ROBERTO BRITTO,PP,Deputado,BA,Processos nº 0001103-66.2008.4.01.3308 - TRF
RONALDO CARLETTO,PP,Deputado,BA,Inquérito nº 3934/2014 - STF
RONALDO CARLETTO,PP,Deputado,BA,Inquérito nº 4063/2015 - STF
TIA ERON,PRB,Deputado,BA,Ação civil pública nº 0300100-44.2012.8.05.0001 - TJ
VALMIR ASSUNÇÃO,PT,Deputado,BA,Inquérito nº 3945/2015 - STF
DANILO FORTE,PMDB,Deputado,CE,Inquérito nº 3317/2011 - STF
DANILO FORTE,PMDB,Deputado,CE,Ação civil pública nº 0017345-18.2008.4.01.3400 - TRF
DANILO FORTE,PMDB,Deputado,CE,Ação civil pública nº 0029596-97.2010.4.01.3400 - TRF
DANILO FORTE,PMDB,Deputado,CE,Ação civil pública nº 0014606-67.2011.4.01.3400- - TRF
GENECIAS NORONHA,SD,Deputado,CE,Apelação cível nº 0000115-97.2007.8.06.0142 - TJ
GORETE PEREIRA,PR,Deputado,CE,Inquérito nº 3387/2011 - STF
GORETE PEREIRA,PR,Deputado,CE,Ação civil pública nº 0010348-02.2010.4.05.8100 - TRF
LUIZIANNE LINS,PT,Deputado,CE,Inquérito nº 4311/2016 - STF
LUIZIANNE LINS,PT,Deputado,CE,Ação civil pública nº 0037573-13.2012.8.06.0001. - TJ
AUGUSTO CARVALHO,SD,Deputado,DF,Ação civil de improbidade administrativa nº 0007806-46.2012.8.07.0018 - TJ
AUGUSTO CARVALHO,SD,Deputado,DF,Processos nº 0002988-51.2012.8.07.0018 - TJ
AUGUSTO CARVALHO,SD,Deputado,DF,Ação civil pública nº 0005382-31.2012.8.07.0018 - TJ
AUGUSTO CARVALHO,SD,Deputado,DF,Ação civil pública nº 0004858-63.2014.8.07.0018 - TJ
AUGUSTO CARVALHO,SD,Deputado,DF,Ação civil de improbidade administrativa nº 0007099-78.2012.8.07.0018 - TJ
AUGUSTO CARVALHO,SD,Deputado,DF,Ação civil de improbidade administrativa nº 0048188-13.2014.8.07.0018 - TJ
LAERTE BESSA,PR,Deputado,DF,Ação civil pública nº 0015956-14.2005.8.07.0001 - TJ
ROGÉRIO ROSSO,PSD,Deputado,DF,Ação popular nº 0001705-56.2013.8.07.0018 - TJ
ROGÉRIO ROSSO,PSD,Deputado,DF,Inquérito nº 4277/2016 - STF
RÔNEY NEMER,PMDB,Deputado,DF,Ação penal nº 923/2015 - STF
RÔNEY NEMER,PMDB,Deputado,DF,Inquérito nº 3962/2015 - STF
RÔNEY NEMER,PMDB,Deputado,DF,Inquérito nº 4051/2015 - STF
RÔNEY NEMER,PMDB,Deputado,DF,Inquérito nº 4080/2015 - STF
RÔNEY NEMER,PMDB,Deputado,DF,Ação civil de improbidade administrativa nº 0001764-44.2013.8.07.0018 - TJ
RÔNEY NEMER,PMDB,Deputado,DF,Ação civil de improbidade administrativa nº 0011854-14.2013.8.07.0018 - TJ
HELDER SALOMAO,PT,Deputado,ES,Ação civil pública nº 0702727-73.2007.8.08.0024 - TJ
LELO COIMBRA,PMDB,Deputado,ES,Inquérito nº 3071/2011 - STF
SERGIO VIDIGAL,PDT,Deputado,ES,Ação civil pública nº 0050088-20.2013.8.08.0024 - TJ
ALEXANDRE BALDY,PSDB,Deputado,GO,Ação civil pública nº 0194023.39.2015.8.09.0051 - TJ
CÉLIO SILVEIRA,PSDB,Deputado,GO,Inquérito nº 4256/2016 - STF
CÉLIO SILVEIRA,PSDB,Deputado,GO,Inquérito nº 4291/2016 - STF
CÉLIO SILVEIRA,PSDB,Deputado,GO,Ação civil pública nº 81479-11.2015.8.09.0051 - TJ
CÉLIO SILVEIRA,PSDB,Deputado,GO,Ação civil pública nº 71831-59.2012.8.09.0100 - TJ
DANIEL VILELA,PMDB,Deputado,GO,Inquérito nº 4.441/2017 - STF
JOVAIR ARANTES,PTB,Deputado,GO,Ação civil pública nº 0017516-58.2011.4.01.3500 - TRF
JOVAIR ARANTES,PTB,Deputado,GO,Ação civil pública nº 0389820.84.2014.8.09.0051 - TJ
JOVAIR ARANTES,PTB,Deputado,GO,Ação rescisória nº 66471.2013.600.0000 - TSE
MAGDA MOFATTO,PR,Deputado,GO,Processos nº 3533329.2008.600.0000 - TSE
MAGDA MOFATTO,PR,Deputado,GO,Processos nº 201002174001 - TJ
MAGDA MOFATTO,PR,Deputado,GO,Processos nº 002173546.2013.4.01.3500 - TRF
MARCOS ABRÃO,PPS,Deputado,GO,Ação civil pública nº 106104-84.2014.8.09.0006 - TJ
ROBERTO BALESTRA,PP,Deputado,GO,Inquérito nº 3989/2015 - STF
ROBERTO BALESTRA,PP,Deputado,GO,Inquérito nº 3821/2014 - STF
RUBENS OTONI,PT,Deputado,GO,Inquérito nº 3726/2013 - STF
ALUISIO MENDES,PSDC,Deputado,MA,Ação civil pública nº 60531-11.2014.8.10.0001 - TJ
HILDO ROCHA,PMDB,Deputado,MA,Ação civil pública nº 870-29.2012.8.10.0080 - TJ
JOÃO CASTELO,PSDB,Deputado,MA,Ação penal nº 939/2015 - STF
JOÃO CASTELO,PSDB,Deputado,MA,Ação civil pública nº 0022662-96.2010.4.01.3700 - TRF
